Name	Code	Sector
서울제약	018680	Healthcare
상상인	038540	Industrials
이수페타시스	007660	Technology
국순당	043650	Consumer Defensive
엘컴텍	037950	Technology
이오테크닉스	039030	Technology
에쎈테크	043340	Industrials
누리플렉스	040160	Technology
한양이엔지	045100	Technology
에이치케이	044780	Industrials
정원엔시스	045510	Industrials
LG유플러스	032640	Communication Services
삼천당제약	000250	Healthcare
엔피케이	048830	Basic Materials
상지카일룸	042940	Industrials
위닉스	044340	Consumer Cyclical
오리콤	010470	Communication Services
두산에너빌리티	034020	Industrials
아즈텍더블유비이	032080	Consumer Cyclical
이글벳	044960	Real Estate
신세계아이앤씨	035510	Communication Services
KD	044180	Industrials
동원에프앤비	049770	Consumer Defensive
하나투어	039130	Communication Services
포스코ICT	022100	Technology
크린앤사이언스	045520	Industrials
고려제약	014570	Healthcare
마니커	027740	Consumer Defensive
인바디	041830	Healthcare
코다코	046070	Consumer Cyclical
금화피에스시	036190	Industrials
비케이탑스	030790	Financial Services
라온시큐어	042510	Technology
케이씨아이	036670	Basic Materials
오로라월드	039830	Consumer Cyclical
삼현철강	017480	Industrials
오픈베이스	049480	Technology
유라테크	048430	Consumer Cyclical
삼화네트웍스	046390	Communication Services
성광벤드	014620	Basic Materials
블루베리엔에프티	044480	Basic Materials
TPC메카트로닉스	048770	Technology
코메론	049430	Industrials
조광아이엘아이	044060	Industrials
에스엠컬처앤콘텐츠	048550	Communication Services
피에스엠씨	024850	Technology
승일	049830	Basic Materials
진양화학	051630	Basic Materials
삼표시멘트	038500	Basic Materials
대우조선해양	042660	Industrials
현대두산인프라코어	042670	Industrials
포스코인터내셔널	047050	Basic Materials
대우건설	047040	Real Estate
LG생활건강	051900	Consumer Defensive
LG화학	051910	Basic Materials
에스에프에이반도체	036540	Technology
현대바이오랜드	052260	Consumer Defensive
대아티아이	045390	Industrials
캠시스	050110	Technology
한국토지신탁	034830	Real Estate
에이텍	045660	Technology
에코바이오홀딩스	038870	Energy
나라엠앤디	051490	Technology
스카이문스테크놀로지	033790	Communication Services
큐로홀딩스	051780	Real Estate
티에스넥스젠	043220	Industrials
에스티큐브	052020	Healthcare
코텍	052330	Financial Services
한네트	052600	Technology
디지아이	043360	Technology
파인디앤씨	049120	Industrials
우진플라임	049800	Basic Materials
씨제이프레시웨이	051500	Consumer Defensive
세아홀딩스	058650	Financial Services
중앙디앤엠	051980	Basic Materials
신세계푸드	031440	Consumer Defensive
대원미디어	048910	Communication Services
초록뱀컴퍼니	052300	Real Estate
유아이엘	049520	Technology
태양	053620	Energy
바이넥스	053030	Healthcare
오성첨단소재	052420	Basic Materials
세코닉스	053450	Technology
우신시스템	017370	Consumer Cyclical
액토즈소프트	052790	Communication Services
프로텍	053610	Technology
세동	053060	Industrials
케이씨씨건설	021320	Real Estate
한국테크놀로지	053590	Technology
제이와이피엔터테인먼트	035900	Communication Services
CMG제약	058820	Healthcare
와이티엔	040300	Communication Services
신한금융지주회사	055550	Financial Services
안랩	053800	Technology
